,duration_sec,start_time,end_time,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bike_id,user_type,member_birth_year,member_gender,bike_share_for_all_trip,year,month,days,boarding_hour,period_of_day,day_of_week,age,travelTime_minutes,travelTime_hours
2418,187,2019-02-28 18:11:44.267,2019-02-28 18:14:51.706,50.0,2nd St at Townsend St,37.780526,-122.390288,30.0,San Francisco Caltrain (Townsend St at 4th St),37.776598,-122.395282,1466,Subscriber,1956,Male,No,2019,2,28,18,evening,Wednesday,63,3,0
2484,3458,2019-02-28 17:13:50.585,2019-02-28 18:11:28.806,98.0,Valencia St at 16th St,37.765052,-122.4218661,76.0,McCoppin St at Valencia St,37.77166246221617,-122.42242321372034,6558,Subscriber,1945,Male,Yes,2019,2,28,17,evening,Wednesday,74,57,0
2525,691,2019-02-28 17:57:32.808,2019-02-28 18:09:04.400,6.0,The Embarcadero at Sansome St,37.80477,-122.403234,22.0,Howard St at Beale St,37.789756,-122.394643,1911,Subscriber,1954,Male,No,2019,2,28,17,evening,Wednesday,65,11,0
2561,244,2019-02-28 18:03:23.564,2019-02-28 18:07:27.617,13.0,Commercial St at Montgomery St,37.794231,-122.402923,21.0,Montgomery St BART Station (Market St at 2nd St),37.7896254,-122.400811,2107,Subscriber,1958,Male,No,2019,2,28,18,evening,Wednesday,61,4,0
2600,711,2019-02-28 17:53:53.944,2019-02-28 18:05:45.311,9.0,Broadway at Battery St,37.79857210846256,-122.40086898207666,50.0,2nd St at Townsend St,37.780526,-122.390288,2993,Subscriber,1958,Male,No,2019,2,28,17,evening,Wednesday,61,11,0
2726,397,2019-02-28 17:52:14.420,2019-02-28 17:58:51.584,21.0,Montgomery St BART Station (Market St at 2nd St),37.7896254,-122.400811,67.0,San Francisco Caltrain Station 2  (Townsend St at 4th St),37.7766392,-122.3955263,5833,Subscriber,1957,Male,No,2019,2,28,17,evening,Wednesday,62,6,0
2760,1078,2019-02-28 17:39:24.354,2019-02-28 17:57:23.093,10.0,Washington St at Kearny St,37.79539293725452,-122.4047702550888,67.0,San Francisco Caltrain Station 2  (Townsend St at 4th St),37.7766392,-122.3955263,4655,Subscriber,1951,Male,No,2019,2,28,17,evening,Wednesday,68,17,0
2761,623,2019-02-28 17:46:53.419,2019-02-28 17:57:17.009,245.0,Downtown Berkeley BART,37.870139,-122.268422,262.0,West St at University Ave,37.86996670760404,-122.28653311729433,6010,Customer,1950,Female,No,2019,2,28,17,evening,Wednesday,69,10,0
2766,561,2019-02-28 17:47:39.151,2019-02-28 17:57:00.174,245.0,Downtown Berkeley BART,37.870139,-122.268422,262.0,West St at University Ave,37.86996670760404,-122.28653311729433,4667,Customer,1951,Male,No,2019,2,28,17,evening,Wednesday,68,9,0
2819,434,2019-02-28 17:47:36.174,2019-02-28 17:54:50.342,97.0,14th St at Mission St,37.7682646,-122.4201102,129.0,Harrison St at 20th St,37.758862,-122.412544,3601,Subscriber,1958,Male,No,2019,2,28,17,evening,Wednesday,61,7,0
