,duration_sec,start_time,end_time,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bike_id,user_type,member_birth_year,member_gender,bike_share_for_all_trip,year,month,days,boarding_hour,period_of_day,day_of_week,age,travelTime_minutes,travelTime_hours
31769,512,2019-02-24 15:56:55.186,2019-02-24 16:05:27.201,43.0,San Francisco Public Library (Grove St at Hyde St),37.7787677,-122.4159292,3.0,Powell St BART Station (Market St at 4th St),37.78637526861584,-122.40490436553954,567,Customer,1952,Other,No,2019,2,24,15,afternoon,Saturday,67,8,0
31793,449,2019-02-24 15:54:33.978,2019-02-24 16:02:03.433,200.0,2nd Ave at E 18th St,37.8002135669698,-122.25381016731262,194.0,Lakeshore Ave at Trestle Glen Rd,37.8110807,-122.2432677,5794,Customer,1958,Male,No,2019,2,24,15,afternoon,Saturday,61,7,0
31825,354,2019-02-24 15:52:23.242,2019-02-24 15:58:18.110,280.0,San Fernando St at 7th St,37.3371223728942,-121.88321471214294,311.0,Paseo De San Antonio at 2nd St,37.333798,-121.886943,1717,Subscriber,1959,Male,No,2019,2,24,15,afternoon,Saturday,60,5,0
31829,1734,2019-02-24 15:28:19.692,2019-02-24 15:57:14.523,31.0,Raymond Kimbell Playground,37.78381270927812,-122.4345588684082,31.0,Raymond Kimbell Playground,37.78381270927812,-122.4345588684082,4613,Subscriber,1958,Male,No,2019,2,24,15,afternoon,Saturday,61,28,0
31853,104,2019-02-24 15:52:30.414,2019-02-24 15:54:14.802,53.0,Grove St at Divisadero,37.775946,-122.4377775,72.0,Page St at Scott St,37.772406,-122.4356498,6108,Subscriber,1959,Male,No,2019,2,24,15,afternoon,Saturday,60,1,0
31929,153,2019-02-24 15:40:49.132,2019-02-24 15:43:22.949,59.0,S Van Ness Ave at Market St,37.774814,-122.418954,43.0,San Francisco Public Library (Grove St at Hyde St),37.7787677,-122.4159292,181,Subscriber,1943,Male,No,2019,2,24,15,afternoon,Saturday,76,2,0
31950,590,2019-02-24 15:28:40.791,2019-02-24 15:38:31.354,46.0,San Antonio Park,37.79013985185364,-122.24237322807312,228.0,Foothill Blvd at Harrington Ave,37.77993,-122.2177284,4505,Subscriber,1956,Female,Yes,2019,2,24,15,afternoon,Saturday,63,9,0
31955,1122,2019-02-24 15:19:14.942,2019-02-24 15:37:57.461,70.0,Central Ave at Fell St,37.77331087889723,-122.44429260492323,58.0,Market St at 10th St,37.776619,-122.417385,2908,Customer,1952,Other,No,2019,2,24,15,afternoon,Saturday,67,18,0
31956,1128,2019-02-24 15:19:07.270,2019-02-24 15:37:56.199,70.0,Central Ave at Fell St,37.77331087889723,-122.44429260492323,58.0,Market St at 10th St,37.776619,-122.417385,873,Customer,1952,Other,No,2019,2,24,15,afternoon,Saturday,67,18,0
31957,1112,2019-02-24 15:19:20.741,2019-02-24 15:37:53.101,70.0,Central Ave at Fell St,37.77331087889723,-122.44429260492323,58.0,Market St at 10th St,37.776619,-122.417385,1184,Customer,1952,Other,No,2019,2,24,15,afternoon,Saturday,67,18,0
31968,200,2019-02-24 15:33:21.694,2019-02-24 15:36:42.501,67.0,San Francisco Caltrain Station 2  (Townsend St at 4th St),37.7766392,-122.3955263,64.0,5th St at Brannan St,37.7767539,-122.3990176,4822,Subscriber,1950,Male,No,2019,2,24,15,afternoon,Saturday,69,3,0
31998,1177,2019-02-24 15:13:27.241,2019-02-24 15:33:04.706,171.0,Rockridge BART Station,37.84427875399067,-122.251900434494,150.0,Adeline St at 40th St,37.8312769,-122.2782669,4918,Subscriber,1956,Female,No,2019,2,24,15,afternoon,Saturday,63,19,0
32039,834,2019-02-24 15:14:17.467,2019-02-24 15:28:12.423,23.0,The Embarcadero at Steuart St,37.791464,-122.391034,61.0,Howard St at 8th St,37.7765126,-122.4113061,179,Subscriber,1955,Male,No,2019,2,24,15,afternoon,Saturday,64,13,0
